"ID","Math01","Math02","Math03","Portu01","Portu02","Portu03","Sex","Rel_status","Guardian","Reason"
1,7,,,13,13,13,"F","no","mother","home"
2,8,,5,13,,11,"F","yes","mother","reputation"
3,14,13,13,,13,12,"F","no","mother","reputation"
4,10,9,,10,11,,"F","no","mother","course"
5,10,10,10,13,13,13,"F","yes","other","reputation"
6,,,11,11,,,"F","no","mother","course"
7,12,0,0,10,11,12,"F","yes","father","course"
8,,9,,11,10,,"F","no","mother","reputation"
9,,16,,15,15,15,"F","no","father","reputation"
10,10,11,11,,,10,"F","no","father","reputation"
11,14,,15,15,14,15,"F","no","mother","reputation"
12,8,,,11,,13,"F","yes","mother","course"
13,9,10,,13,12,12,"F","no","father","home"
14,8,11,11,12,12,12,"F","no","father","course"
15,10,,11,,12,,"F","no","mother","course"
16,16,15,15,14,14,14,"F","no","mother","course"
17,10,12,12,,12,13,"F","no","father","reputation"
18,7,8,8,10,10,10,"F","no","mother","course"
19,,7,6,11,11,11,"F","no","father","other"
20,6,7,,,11,,"F","no","father","home"
21,7,6,,11,10,10,"F","no","mother","home"
22,15,14,15,,14,,"F","yes","mother","home"
23,13,14,14,15,15,15,"F","no","mother","reputation"
24,16,17,18,14,,,"F","no","mother","reputation"
25,,0,0,,,,"F","yes","mother","course"
26,,10,11,,12,,"F","no","mother","course"
27,,9,,12,,12,"F","yes","father","reputation"
28,,,7,13,12,12,"F","no","father","other"
29,10,8,9,,,14,"F","no","mother","reputation"
30,9,11,,13,13,13,"F","no","mother","course"
31,,16,,,,,"F","no","mother","course"
32,,,13,,12,13,"F","no","mother","other"
33,,10,11,10,11,11,"F","yes","mother","home"
34,8,8,6,10,11,11,"F","yes","mother","course"
35,,8,10,,13,12,"F","no","mother","other"
36,7,6,6,12,11,,"F","no","mother","reputation"
37,,,13,16,14,16,"F","no","mother","other"
38,10,10,10,13,,12,"F","yes","father","reputation"
39,10,10,,13,,13,"F","no","mother","reputation"
40,,10,10,11,11,11,"F","no","father","reputation"
41,10,,11,17,16,,"F","no","mother","other"
42,,9,10,,13,12,"F","yes","mother","other"
43,,13,14,13,13,13,"F","no","mother","reputation"
44,,7,,11,,,"F","no","mother","course"
45,4,,0,9,9,,"F","yes","other","course"
46,12,,11,,13,14,"F","no","father","course"
47,9,9,10,12,,,"F","no","mother","home"
48,,8,,10,10,16,"F","yes","father","course"
49,8,,,14,13,13,"F","yes","mother","home"
50,8,9,10,,12,,"F","yes","mother","course"
51,13,12,,,,10,"F","yes","mother","home"
52,,13,13,8,10,,"F","no","mother","home"
53,6,7,0,,12,13,"F","no","mother","home"
54,8,7,8,,11,11,"F","yes","mother","home"
55,11,,11,,13,13,"F","yes","mother","reputation"
56,13,13,11,13,,,"F","no","mother","reputation"
57,6,9,8,10,,,"F","no","mother","home"
58,8,10,,11,,12,"F","no","mother","reputation"
59,11,12,13,12,12,,"F","no","mother","course"
60,16,16,17,13,,14,"F","no","mother","other"
61,,7,,10,,,"F","no","mother","course"
62,12,,,14,15,16,"F","no","mother","reputation"
63,6,10,10,11,,13,"F","no","father","home"
64,7,7,8,,,,"F","yes","mother","home"
65,8,10,10,13,,14,"F","no","mother","reputation"
66,11,12,,11,11,,"F","no","mother","home"
67,,5,,,11,,"F","no","mother","course"
68,,15,16,,,18,"F","yes","father","home"
69,15,16,16,16,15,16,"F","no","mother","course"
70,11,,10,,,,"F","no","mother","home"
71,,,16,,14,15,"F","no","mother","home"
72,,,8,12,13,13,"F","no","mother","course"
73,,9,9,,13,13,"F","no","mother","home"
74,,12,13,,,15,"F","yes","mother","other"
75,14,14,14,16,16,17,"F","yes","mother","reputation"
76,,14,14,,17,17,"F","no","mother","home"
77,11,,14,12,13,,"F","no","mother","reputation"
78,13,14,14,13,,14,"F","no","mother","reputation"
79,13,13,14,15,,16,"F","no","mother","home"
80,11,,,,12,13,"F","no","mother","home"
81,14,14,13,10,,11,"F","no","mother","course"
82,8,10,9,13,13,10,"F","no","father","reputation"
83,8,7,6,13,11,,"F","no","mother","course"
84,10,,9,10,11,11,"F","no","father","course"
85,7,,,11,,10,"F","yes","mother","home"
86,12,,13,14,,13,"F","no","mother","course"
87,13,,13,14,12,13,"F","yes","father","course"
88,7,6,6,12,,12,"F","no","father","home"
89,,11,,,,,"F","no","mother","reputation"
90,16,,,16,,16,"F","no","mother","course"
91,14,15,16,15,15,14,"F","yes","mother","other"
92,9,9,10,,10,,"F","no","mother","reputation"
93,9,10,,,14,,"F","no","mother","home"
94,13,11,11,,13,13,"F","no","mother","course"
95,,,,11,10,11,"F","no","mother","reputation"
96,,6,,13,,,"F","no","mother","reputation"
97,,,14,15,15,,"F","yes","father","course"
98,,11,,15,15,17,"F","no","father","course"
99,7,7,7,11,12,,"F","yes","mother","reputation"
100,11,11,11,11,11,,"F","no","mother","course"
101,18,,18,18,19,19,"F","no","mother","reputation"
102,,10,10,12,11,,"F","no","mother","other"
103,12,,12,15,15,16,"F","yes","mother","course"
104,9,8,0,,12,14,"F","yes","father","home"
105,8,7,,,13,14,"F","yes","mother","reputation"
106,13,13,13,15,14,17,"F","yes","mother","course"
107,,5,,10,13,13,"F","no","mother","home"
108,5,,6,9,11,11,"F","no","father","course"
109,6,5,0,12,,12,"F","yes","mother","reputation"
110,8,8,,,,12,"F","no","mother","course"
111,9,9,,14,15,15,"F","no","mother","course"
112,13,,,13,13,14,"F","no","mother","reputation"
113,9,10,,12,12,,"F","no","mother","course"
114,,9,,,12,14,"F","no","mother","course"
115,11,9,9,14,13,13,"F","yes","mother","course"
116,7,7,8,12,13,13,"F","no","father","home"
117,10,10,,15,16,16,"F","yes","mother","reputation"
118,16,17,,17,18,17,"F","no","father","reputation"
119,12,,15,17,,17,"F","no","father","course"
120,17,,,18,18,18,"F","no","father","reputation"
121,16,15,15,17,18,,"F","no","mother","course"
122,7,8,0,12,13,15,"F","yes","mother","home"
123,10,9,9,15,,13,"F","no","mother","home"
124,10,9,,8,9,,"F","yes","mother","home"
125,16,15,15,11,13,14,"F","no","mother","course"
126,15,,14,16,,,"F","no","mother","reputation"
127,13,15,,11,,13,"F","yes","mother","reputation"
128,,,15,17,18,18,"F","no","mother","reputation"
129,6,,4,11,9,,"F","yes","mother","reputation"
130,11,,12,13,,13,"F","yes","mother","course"
131,18,,18,14,15,16,"F","no","mother","home"
132,,9,9,11,11,,"F","no","mother","course"
133,10,,,,,13,"F","no","mother","course"
134,,14,,15,14,15,"F","yes","mother","course"
135,,,15,14,14,15,"F","no","father","home"
136,10,,,,12,12,"F","yes","father","course"
137,12,12,,12,12,,"F","yes","mother","course"
138,10,9,,10,11,12,"F","yes","father","course"
139,,15,15,,15,16,"F","yes","father","course"
140,14,15,,14,16,,"F","no","mother","reputation"
141,9,9,8,14,13,,"F","yes","mother","reputation"
142,14,12,13,14,15,17,"F","no","mother","reputation"
143,13,13,14,14,12,12,"F","yes","father","reputation"
144,10,9,,12,9,10,"F","yes","mother","home"
145,,8,10,11,,11,"F","no","mother","course"
146,,0,0,8,9,,"F","yes","mother","reputation"
147,10,9,0,,,14,"F","no","mother","course"
148,9,8,,8,,8,"F","yes","mother","reputation"
149,,,11,,11,,"F","no","mother","reputation"
150,12,12,12,,,18,"F","no","mother","reputation"
151,,6,6,0,11,11,"F","no","mother","course"
152,8,9,,12,13,13,"F","no","mother","home"
153,8,9,,14,14,14,"F","no","mother","home"
154,7,,0,12,,,"F","yes","other","course"
155,,8,0,12,12,,"F","no","mother","course"
156,18,,19,18,18,18,"F","no","mother","other"
157,,,,11,12,13,"F","yes","mother","home"
158,,10,10,11,12,14,"F","no","mother","course"
159,15,,,16,,,"F","yes","father","reputation"
160,13,13,,,,17,"F","yes","mother","other"
161,,,0,,11,12,"F","no","mother","home"
162,9,,9,14,,17,"F","yes","mother","course"
163,,,14,,,17,"F","no","father","reputation"
164,,,18,15,15,15,"F","yes","father","home"
165,9,8,8,14,12,13,"F","yes","father","reputation"
166,11,11,11,12,11,13,"F","no","mother","course"
167,12,10,11,,,15,"F","yes","mother","home"
168,11,11,11,,13,13,"F","no","mother","home"
169,8,,0,10,,12,"F","yes","other","home"
170,,15,17,,14,15,"F","no","mother","home"
171,10,8,8,13,14,14,"F","yes","other","home"
172,7,8,,9,10,11,"F","no","other","course"
173,8,8,8,,12,12,"F","no","other","reputation"
174,,9,,11,,,"F","no","other","home"
175,10,9,,14,,13,"F","no","other","reputation"
176,,,9,,9,10,"M","yes","mother","reputation"
177,11,8,8,7,,8,"M","no","mother","course"
178,9,,0,,11,,"M","yes","mother","course"
179,17,16,16,13,14,15,"M","yes","mother","course"
180,10,,13,12,10,11,"M","yes","father","home"
181,,16,16,14,14,15,"M","yes","other","home"
182,,18,18,,16,16,"M","no","mother","course"
183,13,13,12,11,12,12,"M","yes","mother","reputation"
184,,12,,11,12,12,"M","no","mother","home"
185,,8,11,,,10,"M","no","father","course"
186,16,14,15,,13,13,"M","no","father","home"
187,,10,,10,9,9,"M","no","mother","home"
188,10,12,12,,11,12,"M","yes","father","course"
189,,15,15,12,12,,"M","no","mother","home"
190,,,13,14,13,,"M","no","father","reputation"
191,13,,,,,9,"M","no","father","home"
192,11,,10,,11,11,"M","no","mother","course"
193,15,,15,11,11,11,"M","no","mother","other"
194,10,10,,11,,10,"M","no","mother","course"
195,15,15,14,,12,,"M","no","mother","home"
196,10,10,,12,12,13,"M","no","mother","course"
197,9,9,10,,11,,"M","no","mother","home"
198,13,14,15,12,,,"M","no","mother","reputation"
199,,9,0,9,11,11,"M","no","father","course"
200,12,,,11,12,12,"M","no","father","other"
201,9,,,10,,11,"M","no","mother","home"
202,11,13,14,,15,16,"M","no","father","reputation"
203,10,13,14,12,13,12,"M","no","mother","course"
204,17,,,,,,"M","no","mother","reputation"
205,19,18,,,,,"M","no","father","course"
206,,15,15,15,15,16,"M","no","mother","reputation"
207,,9,10,,11,11,"M","no","mother","course"
208,16,18,19,15,16,,"M","no","mother","home"
209,11,,10,10,9,,"M","no","father","other"
210,18,19,19,13,14,,"M","no","mother","course"
211,,10,9,14,,14,"M","no","father","home"
212,11,13,14,11,12,12,"M","no","mother","reputation"
213,,15,15,,12,13,"M","no","mother","home"
214,,10,,,,12,"M","no","mother","course"
215,18,19,19,18,17,18,"M","no","mother","course"
216,15,16,,,14,,"M","no","mother","home"
217,14,,14,12,13,,"M","no","father","course"
218,12,,12,10,11,11,"M","yes","other","home"
219,15,,15,13,13,,"M","yes","mother","reputation"
220,8,,8,14,13,12,"M","no","mother","course"
221,,15,15,12,10,,"M","no","mother","course"
222,,9,10,11,10,10,"M","no","mother","reputation"
223,10,8,9,10,9,,"M","yes","mother","other"
224,11,15,15,9,11,11,"M","no","mother","reputation"
225,,18,18,,14,15,"M","no","mother","course"
226,9,,,,11,,"M","no","father","home"
227,13,,15,11,12,,"M","no","mother","other"
228,13,,,16,17,18,"M","yes","mother","reputation"
229,,12,11,,9,11,"M","yes","mother","other"
230,18,18,,,,,"M","no","mother","course"
231,10,10,10,9,10,11,"M","no","father","course"
232,11,10,10,12,10,11,"M","no","father","reputation"
233,,14,14,13,12,,"M","no","father","home"
234,,12,,13,13,,"M","no","mother","reputation"
235,,15,15,13,11,,"M","no","father","reputation"
236,11,9,10,12,,,"M","yes","mother","reputation"
237,,,15,,,,"M","no","mother","home"
238,7,,,9,11,10,"M","no","other","reputation"
239,10,,12,,,1,"M","yes","father","course"
240,13,14,,,,,"M","no","father","home"
241,,18,,13,14,14,"M","no","father","home"
242,16,,,,12,13,"M","no","father","home"
243,,13,12,13,14,14,"M","yes","mother","home"
244,12,13,,,12,13,"M","yes","mother","home"
245,6,,0,9,9,10,"M","no","father","course"
246,,19,,,17,,"M","no","mother","reputation"
247,9,8,8,11,,11,"M","no","mother","home"
248,,11,13,12,13,13,"M","no","mother","course"
249,14,,13,13,,14,"M","no","father","reputation"
250,,,,14,15,15,"M","no","mother","course"
251,13,12,,15,13,,"M","no","mother","course"
252,,7,5,9,9,8,"M","no","mother","other"
253,,17,17,,,,"M","yes","father","other"
254,7,6,0,,14,,"M","yes","mother","course"
255,7,6,,,9,,"M","yes","mother","course"
256,,15,16,16,,14,"M","no","father","course"
257,15,,,9,,8,"M","no","father","course"
258,10,12,,12,,,"M","yes","mother","home"
259,,11,11,12,12,13,"M","no","mother","home"
260,8,6,7,,9,10,"M","no","mother","reputation"
261,9,7,6,9,,,"M","no","mother","home"
262,14,,,10,10,10,"M","yes","mother","course"
263,,13,14,9,10,10,"M","yes","mother","course"
264,15,,15,13,,16,"M","yes","mother","course"
265,12,12,11,13,12,,"M","no","mother","home"
266,13,,,,10,10,"M","no","mother","reputation"
267,9,9,,12,11,,"M","no","father","reputation"
268,,15,16,,13,14,"M","no","mother","course"
269,8,,,12,,12,"M","no","father","home"
270,,15,15,12,12,13,"M","no","mother","reputation"
271,,,0,14,,,"M","no","mother","course"
272,,14,,16,,,"M","yes","mother","home"
273,8,9,,9,,10,"M","no","mother","home"
274,9,7,,12,11,,"M","no","father","course"
275,,,12,12,12,,"M","no","mother","course"
276,,,11,,,13,"M","no","father","course"
277,,,10,,10,10,"M","no","mother","course"
278,,0,0,10,,10,"M","no","mother","course"
279,,11,12,12,12,12,"M","no","mother","course"
280,5,8,7,,8,,"M","yes","mother","course"
281,16,12,,,8,10,"M","no","mother","reputation"
282,,6,0,,,,"M","yes","mother","course"
283,,,11,12,12,12,"M","no","father","reputation"
284,7,,,10,11,12,"M","no","other","other"
285,,0,0,9,9,10,"M","no","mother","home"
286,5,,0,,7,6,"M","no","mother","home"
287,8,8,,9,9,10,"M","no","mother","home"
288,,8,10,9,,,"M","no","mother","home"
289,12,12,13,,12,13,"M","no","father","course"
290,9,9,10,,11,14,"M","yes","mother","other"
291,6,5,5,8,8,7,"M","no","mother","course"
292,14,12,,14,15,15,"M","no","mother","home"
293,6,,,,,,"M","no","father","reputation"
294,,15,16,17,18,17,"M","no","mother","reputation"
295,12,12,11,11,13,14,"M","yes","mother","other"
296,,10,11,11,11,13,"M","yes","mother","course"
297,17,,,13,,14,"M","no","mother","home"
298,,9,9,13,,13,"M","yes","mother","reputation"
299,,,10,13,13,13,"M","no","mother","home"
300,8,8,8,11,,10,"M","yes","mother","home"
301,7,9,8,9,10,,"M","no","mother","course"
302,14,,,,,16,"M","yes","father","home"
303,12,,12,10,11,,"M","no","father","reputation"
304,12,12,,,15,15,"M","yes","mother","course"
305,10,9,9,10,11,11,"M","no","mother","course"
306,11,11,,12,13,13,"M","no","father","home"
307,12,,13,13,12,,"M","yes","mother","home"
308,13,11,10,,9,10,"M","no","mother","reputation"
309,13,12,12,,11,12,"M","no","mother","course"
310,16,15,,15,,,"M","yes","mother","course"
311,17,17,17,15,16,16,"M","no","mother","reputation"
312,14,13,14,14,15,15,"M","no","mother","reputation"
313,,5,5,10,,10,"M","yes","mother","course"
314,15,14,14,16,,16,"M","no","mother","home"
315,6,,,,8,6,"M","no","mother","other"
316,15,14,14,14,15,,"M","no","mother","reputation"
317,12,13,13,10,9,10,"M","no","mother","home"
318,7,7,0,,7,8,"M","no","father","reputation"
319,6,,8,12,11,,"M","no","mother","home"
320,6,,,,8,7,"M","no","mother","course"
321,10,9,10,10,12,14,"M","yes","father","reputation"
322,12,11,11,15,,,"M","yes","mother","home"
323,,8,8,10,10,11,"M","no","mother","course"
324,,10,,,13,14,"M","yes","mother","course"
325,9,12,,,,,"M","no","mother","course"
326,9,9,9,,,13,"M","no","mother","home"
327,9,9,9,11,12,,"M","no","mother","home"
328,10,10,0,,,13,"M","no","father","home"
329,10,10,,11,,,"M","no","father","home"
330,15,,15,17,,17,"M","no","mother","reputation"
331,,,0,11,9,0,"M","yes","mother","course"
332,10,8,,,10,11,"M","yes","mother","course"
333,9,8,8,,,12,"M","no","mother","course"
334,6,,8,10,10,,"M","no","father","home"
335,16,15,15,16,16,17,"M","yes","mother","home"
336,10,11,10,10,10,10,"M","no","mother","course"
337,16,,16,18,18,,"M","yes","mother","home"
338,15,12,12,10,10,,"M","yes","father","reputation"
339,5,0,0,,9,11,"M","yes","mother","home"
340,11,,11,11,,14,"M","no","mother","reputation"
341,17,18,18,14,15,15,"M","no","other","course"
342,6,,8,7,,5,"M","yes","mother","other"
343,7,6,0,8,8,9,"F","yes","mother","reputation"
344,6,,5,,8,,"F","no","mother","course"
345,12,11,,13,13,13,"F","no","father","course"
346,,10,10,8,9,9,"F","no","mother","reputation"
347,12,13,13,12,,12,"F","no","father","other"
348,,11,,10,11,12,"F","yes","mother","home"
349,12,12,11,15,,,"F","yes","mother","reputation"
350,16,,15,15,14,15,"F","yes","mother","course"
351,,8,10,,,12,"F","no","mother","home"
352,10,9,,14,17,,"F","no","mother","other"
353,,12,11,7,5,0,"F","yes","father","other"
354,6,5,,7,,10,"F","yes","mother","reputation"
355,19,18,19,15,,17,"F","no","mother","reputation"
356,8,,10,,14,14,"F","no","mother","course"
357,6,5,0,7,,7,"F","no","mother","course"
358,,5,0,11,12,,"F","no","mother","course"
359,,10,10,10,10,10,"F","yes","father","course"
360,15,,15,16,16,16,"F","yes","mother","home"
361,,,9,,10,10,"F","yes","father","course"
362,11,11,10,13,12,,"F","yes","mother","other"
363,18,16,16,19,17,18,"F","no","father","course"
364,,9,8,,15,16,"F","no","mother","course"
365,7,5,0,,11,,"F","no","mother","course"
366,13,11,11,10,,,"M","yes","mother","home"
367,11,,10,,15,16,"M","no","father","home"
368,13,,13,8,9,10,"M","no","mother","course"
369,14,,16,10,,,"M","no","mother","course"
370,10,10,,8,10,9,"M","no","mother","course"
371,7,6,7,,,0,"M","yes","mother","other"
372,,13,13,9,10,11,"M","no","mother","course"
373,6,5,,7,,0,"M","no","father","home"
374,14,12,12,,10,10,"M","yes","father","other"
375,11,,,10,11,11,"M","no","mother","course"
376,15,14,,17,18,19,"M","no","father","home"
377,10,10,10,14,13,14,"M","yes","father","home"
378,8,7,8,,10,9,"M","yes","mother","course"
379,13,,13,15,16,,"M","yes","mother","other"
380,8,,,8,,10,"M","no","other","home"
381,8,,8,10,,11,"M","no","other","home"
382,,5,0,5,8,,"M","no","mother","other"
